INFO | 2026-03-12 19:47:54,501 | Starte PPTX-Parsing: C:\Users\oezdemir\Desktop\Projekt\data\raw\slides_input\Test1_neu.pptx | parse_pptx
INFO | 2026-03-12 19:47:54,719 | Verarbeite PPTX-Folie 1 | parse_pptx
INFO | 2026-03-12 19:47:54,948 | Verarbeite PPTX-Folie 2 | parse_pptx
INFO | 2026-03-12 19:47:54,979 | Verarbeite PPTX-Folie 3 | parse_pptx
INFO | 2026-03-12 19:47:55,028 | Verarbeite PPTX-Folie 4 | parse_pptx
INFO | 2026-03-12 19:47:55,167 | Verarbeite PPTX-Folie 5 | parse_pptx
INFO | 2026-03-12 19:47:55,293 | Verarbeite PPTX-Folie 6 | parse_pptx
INFO | 2026-03-12 19:47:55,419 | Verarbeite PPTX-Folie 7 | parse_pptx
INFO | 2026-03-12 19:47:55,449 | Verarbeite PPTX-Folie 8 | parse_pptx
INFO | 2026-03-12 19:47:55,478 | Verarbeite PPTX-Folie 9 | parse_pptx
INFO | 2026-03-12 19:47:55,510 | Verarbeite PPTX-Folie 10 | parse_pptx
INFO | 2026-03-12 19:47:55,558 | Verarbeite PPTX-Folie 11 | parse_pptx
INFO | 2026-03-12 19:47:55,595 | Verarbeite PPTX-Folie 12 | parse_pptx
INFO | 2026-03-12 19:47:55,740 | Verarbeite PPTX-Folie 13 | parse_pptx
INFO | 2026-03-12 19:47:55,784 | Verarbeite PPTX-Folie 14 | parse_pptx
INFO | 2026-03-12 19:47:55,872 | Verarbeite PPTX-Folie 15 | parse_pptx
INFO | 2026-03-12 19:47:56,141 | Verarbeite PPTX-Folie 16 | parse_pptx
INFO | 2026-03-12 19:47:56,300 | Verarbeite PPTX-Folie 17 | parse_pptx
INFO | 2026-03-12 19:47:56,339 | Verarbeite PPTX-Folie 18 | parse_pptx
INFO | 2026-03-12 19:47:56,824 | Verarbeite PPTX-Folie 19 | parse_pptx
INFO | 2026-03-12 19:47:56,954 | Verarbeite PPTX-Folie 20 | parse_pptx
INFO | 2026-03-12 19:47:57,068 | Verarbeite PPTX-Folie 21 | parse_pptx
INFO | 2026-03-12 19:47:57,182 | Verarbeite PPTX-Folie 22 | parse_pptx
INFO | 2026-03-12 19:47:57,297 | Verarbeite PPTX-Folie 23 | parse_pptx
INFO | 2026-03-12 19:47:57,437 | Verarbeite PPTX-Folie 24 | parse_pptx
INFO | 2026-03-12 19:47:57,565 | Verarbeite PPTX-Folie 25 | parse_pptx
INFO | 2026-03-12 19:47:57,851 | Verarbeite PPTX-Folie 26 | parse_pptx
INFO | 2026-03-12 19:47:57,892 | Verarbeite PPTX-Folie 27 | parse_pptx
INFO | 2026-03-12 19:47:57,929 | Verarbeite PPTX-Folie 28 | parse_pptx
INFO | 2026-03-12 19:47:57,963 | Verarbeite PPTX-Folie 29 | parse_pptx
INFO | 2026-03-12 19:47:57,999 | Verarbeite PPTX-Folie 30 | parse_pptx
INFO | 2026-03-12 19:47:58,039 | Verarbeite PPTX-Folie 31 | parse_pptx
INFO | 2026-03-12 19:47:58,072 | Verarbeite PPTX-Folie 32 | parse_pptx
INFO | 2026-03-12 19:47:58,106 | Verarbeite PPTX-Folie 33 | parse_pptx
INFO | 2026-03-12 19:47:58,229 | Verarbeite PPTX-Folie 34 | parse_pptx
INFO | 2026-03-12 19:47:58,263 | Verarbeite PPTX-Folie 35 | parse_pptx
INFO | 2026-03-12 19:47:58,305 | Verarbeite PPTX-Folie 36 | parse_pptx
INFO | 2026-03-12 19:47:58,343 | Verarbeite PPTX-Folie 37 | parse_pptx
INFO | 2026-03-12 19:47:58,383 | Verarbeite PPTX-Folie 38 | parse_pptx
INFO | 2026-03-12 19:47:58,512 | Verarbeite PPTX-Folie 39 | parse_pptx
INFO | 2026-03-12 19:47:58,552 | Verarbeite PPTX-Folie 40 | parse_pptx
INFO | 2026-03-12 19:47:58,773 | Verarbeite PPTX-Folie 41 | parse_pptx
INFO | 2026-03-12 19:47:58,813 | Verarbeite PPTX-Folie 42 | parse_pptx
INFO | 2026-03-12 19:47:58,892 | Verarbeite PPTX-Folie 43 | parse_pptx
INFO | 2026-03-12 19:47:58,959 | Verarbeite PPTX-Folie 44 | parse_pptx
INFO | 2026-03-12 19:47:59,008 | Verarbeite PPTX-Folie 45 | parse_pptx
INFO | 2026-03-12 19:47:59,160 | Verarbeite PPTX-Folie 46 | parse_pptx
INFO | 2026-03-12 19:47:59,204 | Verarbeite PPTX-Folie 47 | parse_pptx
INFO | 2026-03-12 19:47:59,307 | Verarbeite PPTX-Folie 48 | parse_pptx
INFO | 2026-03-12 19:47:59,408 | Verarbeite PPTX-Folie 49 | parse_pptx
INFO | 2026-03-12 19:47:59,443 | Verarbeite PPTX-Folie 50 | parse_pptx
INFO | 2026-03-12 19:47:59,863 | PPTX Parsing abgeschlossen | parse_pptx
INFO | 2026-03-12 19:48:00,618 | PDF Parsing gestartet: C:\Users\oezdemir\Desktop\Projekt\data\raw\slides_input\TEST2_neu1.pdf | parse_pdf
INFO | 2026-03-12 19:48:04,039 | PDF Processing Time: 3.42s | parse_pdf
